var_norm,n_years,first_year,last_year,years_present,example_name,status
altfinal_uneonatales,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_uNeonatales,completa
altfinal_uquemados,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_uQuemados,completa
altotracausa_cirugia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_cirugia,completa
altotracausa_gine,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_gine,completa
altotracausa_largaestan,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_largaEstan,completa
altotracausa_med,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_med,completa
altotracausa_mintensiva,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_mIntensiva,completa
altotracausa_neonatologia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_neonatologia,completa
altotracausa_o1,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_o1,completa
altotracausa_o2,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_o2,completa
altotracausa_o3,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_o3,completa
altotracausa_paliativos,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_paliativos,completa
altotracausa_pediatria,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_pediatria,completa
altotracausa_psiagudo,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_psiAgudo,completa
altotracausa_psiquiatria,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_psiquiatria,completa
altotracausa_psiquimedia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_psiquiMedia,completa
altotracausa_rehabilitacion,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_rehabilitacion,completa
altotracausa_restopedia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_restoPedia,completa
altotracausa_total,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_total,completa
altotracausa_trauma,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_trauma,completa
altotracausa_uci,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_uci,completa
altotracausa_ucoronarios,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_uCoronarios,completa
altotracausa_uneonatales,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_uNeonatales,completa
altotracausa_uquemados,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altOtracausa_uQuemados,completa
alttraslahosp_cirugia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altTraslaHosp_cirugia,completa
